X;Y;Z;W;iter;
-0.3375;-1.72698;-0.457143;-0.203175;1;
-0.3375;-1.72698;-0.431746;-0.203175;1;
-0.3375;-1.72698;-0.431746;-0.177778;1;
-0.3375;-1.72698;-0.406349;-0.203175;1;
-0.3375;-1.72698;-0.406349;-0.177778;1;
-0.3375;-1.72698;-0.380952;-0.203175;1;
-0.3375;-1.72698;-0.380952;-0.177778;1;
-0.3375;-1.72698;-0.380952;-0.152381;1;
-0.3375;-1.72698;-0.355556;-0.203175;1;
-0.3375;-1.72698;-0.355556;-0.177778;1;
-0.3375;-1.72698;-0.355556;-0.152381;1;
-0.3375;-1.72698;-0.330159;-0.203175;1;
-0.3375;-1.72698;-0.330159;-0.177778;1;
-0.3375;-1.72698;-0.330159;-0.152381;1;
-0.3375;-1.72698;-0.330159;-0.126984;1;
-0.3375;-1.72698;-0.304762;-0.203175;1;
-0.3375;-1.72698;-0.304762;-0.177778;1;
-0.3375;-1.72698;-0.304762;-0.152381;1;
-0.3375;-1.72698;-0.304762;-0.126984;1;
-0.3375;-1.72698;-0.279365;-0.203175;1;
-0.3375;-1.72698;-0.279365;-0.177778;1;
-0.3375;-1.72698;-0.279365;-0.152381;1;
-0.3375;-1.72698;-0.279365;-0.126984;1;
-0.3375;-1.72698;-0.253968;-0.177778;1;
-0.3375;-1.72698;-0.253968;-0.152381;1;
-0.3375;-1.72698;-0.253968;-0.126984;1;
-0.3375;-1.72698;-0.253968;-0.101587;1;
-0.3375;-1.72698;-0.228571;-0.177778;1;
-0.3375;-1.72698;-0.228571;-0.152381;1;
-0.3375;-1.72698;-0.228571;-0.126984;1;
-0.3375;-1.72698;-0.228571;-0.101587;1;
-0.3375;-1.72698;-0.203175;-0.177778;1;
-0.3375;-1.72698;-0.203175;-0.152381;1;
-0.3375;-1.72698;-0.203175;-0.126984;1;
-0.3375;-1.72698;-0.203175;-0.101587;1;
-0.3375;-1.72698;-0.177778;-0.152381;1;
-0.3375;-1.72698;-0.177778;-0.126984;1;
-0.3375;-1.72698;-0.177778;-0.101587;1;
-0.3375;-1.72698;-0.177778;-0.0761905;1;
-0.3375;-1.72698;-0.152381;-0.152381;1;
-0.3375;-1.72698;-0.152381;-0.126984;1;
-0.3375;-1.72698;-0.152381;-0.101587;1;
-0.3375;-1.72698;-0.152381;-0.0761905;1;
-0.3375;-1.72698;-0.126984;-0.126984;1;
-0.3375;-1.72698;-0.126984;-0.101587;1;
-0.3375;-1.72698;-0.126984;-0.0761905;1;
-0.3375;-1.72698;-0.101587;-0.101587;1;
-0.3375;-1.72698;-0.101587;-0.0761905;1;
-0.3375;-1.70159;-0.711111;-0.279365;1;
-0.3375;-1.70159;-0.711111;-0.253968;1;
-0.3375;-1.70159;-0.711111;-0.228571;1;
-0.3375;-1.70159;-0.685714;-0.279365;1;
-0.3375;-1.70159;-0.685714;-0.253968;1;
-0.3375;-1.70159;-0.685714;-0.228571;1;
-0.3375;-1.70159;-0.685714;-0.203175;1;
-0.3375;-1.70159;-0.660317;-0.279365;1;
-0.3375;-1.70159;-0.660317;-0.253968;1;
-0.3375;-1.70159;-0.660317;-0.228571;1;
-0.3375;-1.70159;-0.660317;-0.203175;1;
-0.3375;-1.70159;-0.634921;-0.279365;1;
-0.3375;-1.70159;-0.634921;-0.253968;1;
-0.3375;-1.70159;-0.634921;-0.228571;1;
-0.3375;-1.70159;-0.634921;-0.203175;1;
-0.3375;-1.70159;-0.634921;-0.177778;1;
-0.3375;-1.70159;-0.609524;-0.304762;1;
-0.3375;-1.70159;-0.609524;-0.279365;1;
-0.3375;-1.70159;-0.609524;-0.253968;1;
-0.3375;-1.70159;-0.609524;-0.228571;1;
-0.3375;-1.70159;-0.609524;-0.203175;1;
-0.3375;-1.70159;-0.609524;-0.177778;1;
-0.3375;-1.70159;-0.609524;-0.152381;1;
-0.3375;-1.70159;-0.584127;-0.304762;1;
-0.3375;-1.70159;-0.584127;-0.279365;1;
-0.3375;-1.70159;-0.584127;-0.253968;1;
-0.3375;-1.70159;-0.584127;-0.228571;1;
-0.3375;-1.70159;-0.584127;-0.203175;1;
-0.3375;-1.70159;-0.584127;-0.177778;1;
-0.3375;-1.70159;-0.584127;-0.152381;1;
-0.3375;-1.70159;-0.55873;-0.304762;1;
-0.3375;-1.70159;-0.55873;-0.279365;1;
-0.3375;-1.70159;-0.55873;-0.253968;1;
-0.3375;-1.70159;-0.55873;-0.228571;1;
-0.3375;-1.70159;-0.55873;-0.203175;1;
