X;Y;Z;W;iter;
-0.3375;-2.28571;0;-0.761904;1;
-0.3375;-2.15873;-0.126984;-0.888888;1;
-0.3375;-2.15873;-0.126984;-0.761904;1;
-0.3375;-2.15873;0;-0.888888;1;
-0.3375;-2.15873;0;-0.761904;2;
-0.3375;-2.15873;0;-0.63492;1;
-0.3375;-2.03175;-0.253968;-0.888888;1;
-0.3375;-2.03175;-0.253968;-0.761904;1;
-0.3375;-2.03175;-0.126984;-0.888888;1;
-0.3375;-2.03175;-0.126984;-0.761904;2;
-0.3375;-2.03175;-0.126984;-0.63492;2;
-0.3375;-2.03175;0;-0.888888;1;
-0.3375;-2.03175;0;-0.761904;2;
-0.3375;-2.03175;0;-0.63492;2;
-0.3375;-2.03175;0;-0.507936;1;
-0.3375;-1.90476;-0.380952;-0.888888;1;
-0.3375;-1.90476;-0.380952;-0.761904;1;
-0.3375;-1.90476;-0.380952;-0.63492;1;
-0.3375;-1.90476;-0.253968;-0.888888;1;
-0.3375;-1.90476;-0.253968;-0.761904;2;
-0.3375;-1.90476;-0.253968;-0.63492;2;
-0.3375;-1.90476;-0.253968;-0.507936;1;
-0.3375;-1.90476;-0.126984;-0.888888;1;
-0.3375;-1.90476;-0.126984;-0.761904;2;
-0.3375;-1.90476;-0.126984;-0.63492;2;
-0.3375;-1.90476;-0.126984;-0.507936;1;
-0.3375;-1.90476;0;-0.888888;1;
-0.3375;-1.90476;0;-0.63492;2;
-0.3375;-1.90476;0;-0.507936;4;
-0.3375;-1.90476;0;-0.380952;1;
-0.3375;-1.77778;-0.507936;-0.888888;1;
-0.3375;-1.77778;-0.507936;-0.761904;1;
-0.3375;-1.77778;-0.507936;-0.63492;1;
-0.3375;-1.77778;-0.380952;-0.888888;1;
-0.3375;-1.77778;-0.380952;-0.761904;2;
-0.3375;-1.77778;-0.380952;-0.63492;2;
-0.3375;-1.77778;-0.380952;-0.507936;1;
-0.3375;-1.77778;-0.253968;-0.888888;1;
-0.3375;-1.77778;-0.253968;-0.63492;2;
-0.3375;-1.77778;-0.253968;-0.507936;1;
-0.3375;-1.77778;-0.253968;-0.380952;1;
